SpName,TableName
USP_LOAD_ETL5_PRE_COVERAGE.sql,FOND_IFRS17_ETL5_PROC_LOG
USP_LOAD_ETL5_MJE.sql,USP_LOAD_ETL5_MJE
USP_LOAD_ETL5_MJE.sql,USP_GetRunIdReturn
USP_LOAD_ETL5_MJE.sql,FOND_IFRS17_PROC_LOG
USP_LOAD_ETL5_MJE.sql,STAG_CONFIG_ETL5_MJE_MASTER_T7_CONFIG
USP_LOAD_ETL5_MJE.sql,FOND_ETL5_SUNGL_EXTRACT
USP_LOAD_ETL5_MJE.sql,STAG_CONFIG_ETL5_MJE_BS_PNL_LIST_CONFIG
USP_LOAD_ETL5_MJE.sql,STAG_CONFIG_ETL5_MJE_FILTERED_CONFIG
USP_LOAD_ETL5_MJE.sql,STAG_CONFIG_ETL5_MJE_UNFILTERED_PREM_CLAIM_COMM_CONFIG
USP_LOAD_ETL5_MJE.sql,FOND_ETL5_MJE_FILTERED
USP_LOAD_ETL5_MJE.sql,FOND_ETL5_MJE_UNFILTERED
USP_LOAD_ETL5_MJE.sql,FOND_IFRS17_ETL5_PROC_LOG
USP_LOAD_ETL5_LIFEASIA_MASTER_T0.sql,FOND_ETL5_LIFEASIA_MASTER_T0
USP_LOAD_ETL5_LIFEASIA_MASTER_T0.sql,FOND_LIFEASIA_ETL4_LIFEASIA
USP_LOAD_ETL5_LIFEASIA_MASTER_T0.sql,FOND_LIFEASIA_ETL4_LIFEASIA_INVALID
USP_LOAD_ETL5_LIFEASIA_MASTER_T0.sql,FOND_LIFEASIA_ETL4_LIFEASIA_NONRELATED
USP_LOAD_ETL5_LIFEASIA_MASTER_T0.sql,USP_GetRunIdReturn
USP_LOAD_ETL5_LIFEASIA_MASTER_T0.sql,FOND_IFRS17_PROC_LOG
USP_LOAD_ETL5_LIFEASIA_MASTER_T0.sql,FOND_IFRS17_ETL5_PROC_LOG
USP_LOAD_ABST_ACTUAL_CF_TRAN.sql,ABST_ACTUAL_CF_TRAN
USP_LOAD_ABST_ACTUAL_CF_TRAN.sql,FOND_ETL4_ACTUAL_CF_TRAN_HISTORICAL
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND3.sql,USP_GetRunIdReturn
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND3.sql,USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND3
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND3.sql,STAG_IFRS17_PROC_LOG
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND3.sql,FOND_LIFEASIA_ETL4_TEMP_DATA11_TABARU_BATCH
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND3.sql,STAG_CONFIG_IFRS17_PARAM_TABLE_MAPPING_NONRELATED
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND3.sql,STAG_LIFEASIA_IFRS17_COA_INSCOPE
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND3.sql,STAG_CONFIG_ETL2_IFIE_FUND_CD_MAPPING
