SpName,TableName
FOND_ID.USP_LOAD_ETL5_RI_CAT_PERMIUM_PRE_ALLOCATED.sql,STAG_CONFIG_STAG_ETL5_RI_CAT_PREMIUM_CONFIG
FOND_ID.USP_LOAD_ETL5_RI_CAT_PERMIUM_PRE_ALLOCATED.sql,STAG_CONFIG_ABST_FINANCE_CONFIG
FOND_ID.USP_LOAD_ETL5_RI_CAT_PERMIUM_PRE_ALLOCATED.sql,FOND_ETL5_IBNR_PRE_ALLOCATED
FOND_ID.USP_LOAD_ETL5_RI_CAT_PERMIUM_PRE_ALLOCATED.sql,FOND_PRE_ALLOC_PASS_THROUGH_EXTRACT
FOND_ID.USP_LOAD_ETL5_RI_CAT_PERMIUM_PRE_ALLOCATED.sql,FOND_IFRS17_ETL5_PROC_LOG
FOND_ID.USP_LOAD_ETL5_NOP_APE_DRIVER_DETAIL.sql,USP_LOAD_ETL5_NOP_APE_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_NOP_APE_DRIVER_DETAIL.sql,FOND_MIX_APE_NOP_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_NOP_APE_DRIVER_DETAIL.sql,FOND_IFRS17_PROC_LOG
FOND_ID.USP_LOAD_ETL5_NOP_APE_DRIVER_DETAIL.sql,STAG_CONFIG_MIX_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_NOP_APE_DRIVER_DETAIL.sql,FOND_ETL5_APE_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_NOP_APE_DRIVER_DETAIL.sql,FOND_ETL5_NOP_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_NOP_APE_DRIVER_DETAIL.sql,FOND_ETL5_DRIVER_RATIO_AND_ALLOCATION
FOND_ID.USP_LOAD_ETL5_NOP_APE_DRIVER_DETAIL.sql,FOND_ETL5_DRIVER_DETAIL_TOTAL_RATIO
FOND_ID.USP_LOAD_ETL5_NOP_APE_DRIVER_DETAIL.sql,FOND_ETL5_DRIVER_DETAIL_TOTAL_RATIO_POLICY
FOND_ID.USP_LOAD_ETL5_NOP_APE_DRIVER_DETAIL.sql,FOND_ETL5_DRIVER_DETAIL_ALL_RATIO
FOND_ID.USP_LOAD_ETL5_NOP_APE_DRIVER_DETAIL.sql,FOND_ETL5_DRIVER_DETAIL_MIX
FOND_ID.USP_LOAD_ETL5_RENOVA_DRIVER_DETAIL_YTD_SPLITTING.sql,USP_LOAD_ETL5_RENOVA_DRIVER_DETAIL_YTD_SPLITTING
FOND_ID.USP_LOAD_ETL5_RENOVA_DRIVER_DETAIL_YTD_SPLITTING.sql,USP_GetRunIdReturn
FOND_ID.USP_LOAD_ETL5_RENOVA_DRIVER_DETAIL_YTD_SPLITTING.sql,FOND_IFRS17_PROC_LOG
FOND_ID.USP_LOAD_ETL5_RENOVA_DRIVER_DETAIL_YTD_SPLITTING.sql,FOND_IFRS17_ICG_STORES
